Date,Close,Date,Close,Date,Close
11/17/2016,2187.12,11/17/2016,116.17,11/17/2016,121.2
11/18/2016,2181.9,11/18/2016,115.15,11/18/2016,120.85
11/21/2016,2198.18,11/21/2016,115.58,11/21/2016,121.15
11/22/2016,2202.94,11/22/2016,115.54,11/22/2016,121.11
11/23/2016,2204.72,11/23/2016,113.25,11/23/2016,120.64
11/25/2016,2213.35,11/25/2016,112.61,11/25/2016,120.82
11/28/2016,2201.72,11/28/2016,113.8,11/28/2016,121.71
11/29/2016,2204.66,11/29/2016,113.27,11/29/2016,122.22
11/30/2016,2198.81,11/30/2016,111.75,11/30/2016,120.24
12/1/2016,2191.08,12/1/2016,111.54,12/1/2016,118.73
12/2/2016,2191.95,12/2/2016,112.14,12/2/2016,119.6
12/5/2016,2204.71,12/5/2016,111.54,12/5/2016,119.47
12/6/2016,2212.23,12/6/2016,111.43,12/6/2016,119.38
12/7/2016,2241.35,12/7/2016,111.83,12/7/2016,120.4
12/8/2016,2246.19,12/8/2016,111.57,12/8/2016,118.98
12/9/2016,2259.53,12/9/2016,110.4,12/9/2016,117.5
12/12/2016,2256.96,12/12/2016,110.82,12/12/2016,117.72
12/13/2016,2271.72,12/13/2016,110.45,12/13/2016,118.14
12/14/2016,2253.28,12/14/2016,108.83,12/14/2016,116.82
12/15/2016,2262.03,12/15/2016,107.34,12/15/2016,117.41
12/16/2016,2258.07,12/16/2016,108.05,12/16/2016,117.14
12/19/2016,2262.53,12/19/2016,108.59,12/19/2016,118.4
12/20/2016,2270.76,12/20/2016,107.79,12/20/2016,117.81
12/21/2016,2265.18,12/21/2016,107.85,12/21/2016,118.33
12/22/2016,2260.96,12/22/2016,107.59,12/22/2016,117.81
12/23/2016,2263.79,12/23/2016,107.93,12/23/2016,118.05
12/27/2016,2268.88,12/27/2016,108.56,12/27/2016,117.67
12/28/2016,2249.92,12/28/2016,108.86,12/28/2016,118.53
12/29/2016,2249.26,12/29/2016,110.29,12/29/2016,118.95
12/30/2016,2238.83,12/30/2016,109.61,12/30/2016,119.13
1/3/2017,2257.83,1/3/2017,110.47,1/3/2017,119.64
1/4/2017,2270.75,1/4/2017,110.86,1/4/2017,120.1
1/5/2017,2269,1/5/2017,112.58,1/5/2017,121.98
1/6/2017,2276.98,1/6/2017,111.75,1/6/2017,120.86
1/9/2017,2268.9,1/9/2017,112.67,1/9/2017,121.83
1/10/2017,2268.9,1/10/2017,113.15,1/10/2017,121.75
1/11/2017,2275.32,1/11/2017,113.5,1/11/2017,122.16
1/12/2017,2270.44,1/12/2017,113.91,1/12/2017,121.89
1/13/2017,2274.64,1/13/2017,114.21,1/13/2017,121.31
1/17/2017,2267.89,1/17/2017,115.85,1/17/2017,122.58
1/18/2017,2271.89,1/18/2017,114.87,1/18/2017,121.01
1/19/2017,2263.69,1/19/2017,114.77,1/19/2017,120.18
1/20/2017,2271.31,1/20/2017,115.05,1/20/2017,119.94
1/23/2017,2265.2,1/23/2017,115.79,1/23/2017,121.14
1/24/2017,2280.07,1/24/2017,115.27,1/24/2017,120.31
1/25/2017,2298.37,1/25/2017,114.32,1/25/2017,118.8
1/26/2017,2296.68,1/26/2017,113.26,1/26/2017,119.2
1/27/2017,2294.69,1/27/2017,113.49,1/27/2017,119.63
1/30/2017,2280.9,1/30/2017,113.97,1/30/2017,119.27
1/31/2017,2278.87,1/31/2017,115.55,1/31/2017,120.1
2/1/2017,2279.55,2/1/2017,115.2,2/1/2017,119.1
2/2/2017,2280.85,2/2/2017,115.84,2/2/2017,119.05
2/3/2017,2297.42,2/3/2017,116.13,2/3/2017,119
2/6/2017,2292.56,2/6/2017,117.7,2/6/2017,119.72
2/7/2017,2293.08,2/7/2017,117.46,2/7/2017,120.6
2/8/2017,2294.67,2/8/2017,118.19,2/8/2017,122.24
2/9/2017,2307.87,2/9/2017,117.29,2/9/2017,120.83
2/10/2017,2316.1,2/10/2017,117.6,2/10/2017,120.76
2/13/2017,2328.25,2/13/2017,116.8,2/13/2017,120.38
2/14/2017,2337.58,2/14/2017,116.93,2/14/2017,119.51
2/15/2017,2349.25,2/15/2017,117.45,2/15/2017,118.96
2/16/2017,2347.22,2/16/2017,118.08,2/16/2017,119.61
2/17/2017,2351.16,2/17/2017,117.68,2/17/2017,120.32
2/21/2017,2365.38,2/21/2017,117.75,2/21/2017,120.11
2/22/2017,2362.82,2/22/2017,117.91,2/22/2017,120.31
2/23/2017,2363.81,2/23/2017,118.94,2/23/2017,120.67
2/24/2017,2367.34,2/24/2017,119.7,2/24/2017,122.01
2/27/2017,2369.75,2/27/2017,119.12,2/27/2017,121.29
2/28/2017,2363.64,2/28/2017,119.23,2/28/2017,121.74
3/1/2017,2395.96,3/1/2017,119.06,3/1/2017,119.47
3/2/2017,2381.92,3/2/2017,117.58,3/2/2017,119.04
3/3/2017,2383.12,3/3/2017,117.51,3/3/2017,119.35
3/6/2017,2375.31,3/6/2017,116.72,3/6/2017,118.78
3/7/2017,2368.39,3/7/2017,115.78,3/7/2017,118.42
3/8/2017,2362.98,3/8/2017,115.06,3/8/2017,117.78
3/9/2017,2364.87,3/9/2017,114.47,3/9/2017,116.84
3/10/2017,2372.6,3/10/2017,114.72,3/10/2017,117.25
3/13/2017,2373.47,3/13/2017,114.74,3/13/2017,116.51
3/14/2017,2365.45,3/14/2017,114.12,3/14/2017,117.07
3/15/2017,2385.26,3/15/2017,116.25,3/15/2017,118.5
3/16/2017,2381.38,3/16/2017,116.73,3/16/2017,117.9
3/17/2017,2378.25,3/17/2017,116.99,3/17/2017,118.64
3/20/2017,2373.47,3/20/2017,117.56,3/20/2017,119.15
3/21/2017,2344.02,3/21/2017,118.54,3/21/2017,120.14
3/22/2017,2348.45,3/22/2017,118.83,3/22/2017,120.62
3/23/2017,2345.96,3/23/2017,118.67,3/23/2017,120.45
3/24/2017,2343.98,3/24/2017,118.86,3/24/2017,120.88
3/27/2017,2341.59,3/27/2017,119.53,3/27/2017,121.43
3/28/2017,2358.57,3/28/2017,119.04,3/28/2017,120.62
3/29/2017,2361.13,3/29/2017,119.33,3/29/2017,121.34
3/30/2017,2368.06,3/30/2017,118.47,3/30/2017,120.36
3/31/2017,2362.72,3/31/2017,118.72,3/31/2017,120.71
4/3/2017,2358.84,4/3/2017,119.35,4/3/2017,121.67
4/4/2017,2360.16,4/4/2017,119.62,4/4/2017,121.01
4/5/2017,2352.95,4/5/2017,119.62,4/5/2017,121.38
4/6/2017,2357.49,4/6/2017,119.18,4/6/2017,121.2
4/7/2017,2355.54,4/7/2017,119.46,4/7/2017,120.71
4/10/2017,2357.16,4/10/2017,119.46,4/10/2017,121.27
4/11/2017,2353.78,4/11/2017,121.19,4/11/2017,122.42
4/12/2017,2344.93,4/12/2017,122.02,4/12/2017,123.09
4/13/2017,2328.95,4/13/2017,122.6,4/13/2017,123.47
4/17/2017,2349.01,4/17/2017,122.24,4/17/2017,123.09
4/18/2017,2342.19,4/18/2017,122.82,4/18/2017,124.7
4/19/2017,2338.17,4/19/2017,121.73,4/19/2017,124.02
4/20/2017,2355.84,4/20/2017,121.96,4/20/2017,123.54
4/21/2017,2348.69,4/21/2017,122.31,4/21/2017,123.54
4/24/2017,2374.15,4/24/2017,121.48,4/24/2017,122.93
4/25/2017,2388.61,4/25/2017,120.25,4/25/2017,121.45
4/26/2017,2387.45,4/26/2017,120.84,4/26/2017,122.12
4/27/2017,2388.77,4/27/2017,120.39,4/27/2017,122.08
4/28/2017,2384.2,4/28/2017,120.77,4/28/2017,122.35
5/1/2017,2388.33,5/1/2017,119.67,5/1/2017,121.08
5/2/2017,2391.17,5/2/2017,119.65,5/2/2017,121.7
5/3/2017,2388.13,5/3/2017,117.98,5/3/2017,121.78
5/4/2017,2389.52,5/4/2017,116.79,5/4/2017,121.18
5/5/2017,2399.29,5/5/2017,117.01,5/5/2017,121.29
5/8/2017,2399.38,5/8/2017,116.75,5/8/2017,120.63
5/9/2017,2396.92,5/9/2017,116.05,5/9/2017,120.62
5/10/2017,2399.63,5/10/2017,116.04,5/10/2017,120.48
5/11/2017,2394.44,5/11/2017,116.5,5/11/2017,120.48
5/12/2017,2390.9,5/12/2017,116.83,5/12/2017,121.39
5/15/2017,2402.32,5/15/2017,117.14,5/15/2017,121.06
5/16/2017,2400.67,5/16/2017,117.65,5/16/2017,121.51
5/17/2017,2357.03,5/17/2017,119.79,5/17/2017,123.28
5/18/2017,2365.72,5/18/2017,118.81,5/18/2017,123.42
5/19/2017,2381.73,5/19/2017,119.4,5/19/2017,123.71
5/22/2017,2394.02,5/22/2017,119.9,5/22/2017,123.37
5/23/2017,2398.42,5/23/2017,119.14,5/23/2017,122.54
5/24/2017,2404.39,5/24/2017,119.61,5/24/2017,123.23
5/25/2017,2415.07,5/25/2017,119.48,5/25/2017,123.27
5/26/2017,2415.82,5/26/2017,120.54,5/26/2017,123.48
5/30/2017,2412.91,5/30/2017,120.14,5/30/2017,124.09
5/31/2017,2411.8,5/31/2017,120.62,5/31/2017,124.4
6/1/2017,2430.06,6/1/2017,120.72,6/1/2017,124.15
6/2/2017,2439.07,6/2/2017,121.61,6/2/2017,125.62
6/5/2017,2436.1,6/5/2017,121.73,6/5/2017,124.84
6/6/2017,2429.33,6/6/2017,123.1,6/6/2017,125.52
6/7/2017,2433.14,6/7/2017,122.45,6/7/2017,124.92
6/8/2017,2433.79,6/8/2017,121.65,6/8/2017,124.59
6/9/2017,2431.77,6/9/2017,120.54,6/9/2017,124.4
6/12/2017,2429.39,6/12/2017,120.36,6/12/2017,124.36
